"","V1","B_COUNTRY_ALPHA","C_COW_ALPHA","V1A","V1B","V2","V2A","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146_05","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185G","V185b","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213B","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","Q223_LOCAL","V232","V233","V233A","V234","V235","V236","V237","V237R2","V237R","V238","V238R","V238CS","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V253CS","V255","V256","V257","N_REGION_ISO","V258","V259","V259A","V260","V265","Y001","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","WEIGHTB","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","S018","S019","S021","S024","S025","COW"
"82",5,"USA","USA",2,1,840,840,838,1,1,1,3,1,2,3,3,2,1,2,2,1,2,2,1,2,1,6,2,2,0,2,2,0,0,2,0,0,NA,1,2,1,2,1,2,1,1,2,2,2,2,6,6,2,4,3,3,3,3,4,1,2,2,1,4,4,4,4,4,4,4,4,5,4,2,4,3,1,4,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6,2,1,1,NA,1,4,3,3,3,NA,2,2,2,NA,1,4,4,4,4,4,4,4,4,2,7,2,7,7,7,7,9,NA,5,6,4,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,3,2,5,3,NA,NA,NA,NA,NA,3,NA,2,5,NA,2,2,2,3,4,1,10100000,1,3,2,2,2,2,5,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1953,53,3,4,5,2,840003,NA,2,1,14,NA,NA,NA,NA,2,2,2,14,NA,NA,NA,840048,NA,1250,840010,NA,1240,1.960157,1.960157,2006,4,1,2,NA,0.4975,1,0.290833,1,1,0.66,1,0.886667,1,0.33,1,0,0.443333,1,0,0,0,0,1,0.66,0.66,0.66,0.66,1,0,0,0,0,1,0.5,1,1,0.833333,1,0,0,0,0,1,0.66,0,0.33,0.33,1,2,8400600082,1.569381,2.354072,84005212006,8405,8402006,2
"83",5,"USA","USA",2,1,840,840,607,1,1,1,3,1,1,1,2,2,1,1,2,1,2,1,2,2,1,7,2,0,0,0,0,2,0,0,0,0,2,1,2,2,1,2,2,1,2,2,1,3,1,9,4,1,2,2,4,2,4,4,1,1,2,2,3,3,3,3,3,1,3,1,3,1,3,2,3,1,2,1,3,2,2,1,3,6,4,5,4,5,3,6,3,4,1,7,7,7,9,3,1,2,2,NA,1,2,2,NA,2,3,3,2,3,3,3,1,1,1,5,1,7,NA,4,5,4,7,2,5,4,2,2,1,3,3,3,2,2,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,4,2,4,5,3,3,5,7,5,6,6,7,9,5,3,2,1,3,NA,NA,NA,NA,NA,3,NA,2,10,1,1,1,1,1,1,2,2e+07,6,1,2,2,2,2,10,1,4,2,4,2,1,4,3,1,8,4,7,7,5,2,1,1,2,2,2,2,3,2,2,3,3,1,1,3,1240,1,1,1,1,2,1,1,1,840001,840001,840002,5,840002,1,1,1945,61,3,5,5,2,840003,20,2,1,7,2,1,1,9,1,2,1,7,1,4,4,840051,2,1400,840002,NA,1240,2.130171,2.130171,2006,2,3,2,0,0.470278,1,0.514259,1,0.5,0,0.66,0.386667,1,0,0,0.833333,0.277778,1,1,1,0,0.666667,1,0.33,0.66,0.66,0.55,1,0,0,0,0,1,1,0.66,0.66,0.773333,1,0.777778,0.666667,0.666667,0.703704,1,0.66,0.5,0.58,0.58,1,2,8400600083,1.705501,2.558251,84005212006,8405,8402006,2
"84",5,"USA","USA",2,2,840,840,740,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,7,1,2,2,1,0,1,0,1,2,1,NA,1,2,2,2,2,2,2,2,2,2,3,3,10,8,4,3,2,2,3,1,2,4,1,2,2,1,3,3,2,4,1,4,1,7,1,3,3,2,1,2,2,2,3,2,1,1,5,2,4,2,5,5,4,4,1,1,10,10,10,1,2,1,1,1,NA,2,2,2,NA,1,4,4,4,4,1,3,1,2,2,5,1,3,3,1,5,1,10,10,8,3,1,1,1,2,1,1,1,1,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,4,1,10,1,10,1,10,10,1,1,10,10,10,3,2,2,1,3,1,1,1,1,1,1,2,2,5,3,3,3,3,3,1,1,10100000,1,1,1,1,1,2,10,1,4,2,4,2,1,5,1,1,10,5,1,5,1,1,1,2,2,1,1,1,4,2,2,3,3,2,1,10,1240,2,1,2,1,1,1,1,2,840002,840002,8,840001,840003,1,2,1934,72,3,6,7,3,840005,21,2,4,NA,NA,NA,NA,NA,NA,1,NA,3,3,4,3,840051,2,1400,840001,NA,1240,0.670054,0.670054,2006,2,3,2,NA,0.290833,1,0.417454,1,0.5,0.33,1,0.61,1,0,0,0,0,1,1,0,0,0.333333,1,0,0.33,0.33,0.22,1,0,0,0,0,1,1,0.66,0.66,0.773333,1,1,0,0.444444,0.481481,1,0.33,0.5,0.415,0.415,1,2,8400600084,0.536472,0.804708,84005212006,8405,8402006,2
"85",5,"USA","USA",2,2,840,840,1087,1,1,1,3,4,1,1,2,2,2,1,2,1,1,1,1,2,2,8,1,2,0,0,0,1,0,0,0,NA,NA,1,2,1,2,2,2,1,2,2,2,2,1,7,5,2,4,3,3,3,4,3,1,1,2,2,3,2,3,3,2,2,2,2,10,1,2,4,3,1,3,1,2,1,1,1,4,5,2,6,3,6,6,2,2,2,1,7,10,6,7,3,2,3,3,NA,2,2,2,NA,1,2,2,2,4,2,4,1,1,1,5,1,8,1,7,1,NA,1,6,5,3,1,2,2,2,2,2,2,1,3,3,NA,2,2,3,3,3,3,3,2,3,2,4,3,3,3,4,1,8,1,10,4,NA,10,5,1,10,10,NA,7,3,2,1,5,1,1,1,1,1,3,NA,2,1,1,1,1,2,1,2,2,2e+07,2,1,1,1,1,1,10,1,4,2,2,4,1,1,1,1,7,7,7,7,4,7,1,2,2,2,2,2,2,2,2,3,1,1,1,7,1240,1,1,2,1,2,2,2,1,840002,840002,8,5,4,1,2,1923,83,3,6,6,3,840004,NA,2,5,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,840045,2,1400,840003,NA,1240,0.170014,0.170014,2006,2,2,2,0,0.123889,1,0.456667,1,0,0.33,0.33,0.22,1,0,0,0.166667,0.055556,1,0,0,0,0,1,0,0.33,0.33,0.22,1,0,0,1,0.333333,1,0.5,0.33,0.66,0.496667,1,0.666667,0.666667,0.666667,0.666667,1,0.66,0,0.33,0.33,1,2,8400600085,0.13612,0.20418,84005212006,8405,8402006,2
"86",5,"USA","USA",2,1,840,840,405,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,7,1,2,0,0,0,1,0,0,0,0,NA,1,2,1,2,2,2,1,2,2,2,3,1,7,9,2,4,3,2,2,3,3,5,1,2,2,2,2,3,3,2,2,2,2,7,1,3,1,3,4,1,2,2,2,1,1,4,6,4,4,3,5,6,4,2,2,1,7,7,6,8,2,1,3,2,NA,1,2,2,NA,1,2,3,3,1,2,2,1,1,1,5,2,5,3,7,3,3,7,8,9,3,1,2,1,2,1,2,1,2,2,2,3,1,1,2,2,2,2,2,2,2,1,2,2,3,3,3,2,5,1,9,4,1,9,9,9,6,8,10,10,1,2,1,3,NA,NA,NA,NA,NA,2,NA,2,9,2,2,1,1,2,2,2,2e+07,2,1,2,1,1,1,9,1,2,1,2,2,1,1,1,1,3,1,6,6,6,1,1,1,3,1,1,1,2,2,2,2,2,1,1,8,1240,1,1,2,1,2,1,1,3,840001,840001,840002,840003,840001,1,2,1920,86,3,6,5,2,840003,18,1,4,NA,NA,NA,NA,NA,NA,1,NA,5,3,3,5,840045,3,1400,840002,NA,1240,0.830066,0.830066,2006,1,1,1,1,0.096389,1,0.506111,1,0,0,0.33,0.11,1,0.33,0,0.166667,0.165556,1,0,0,0,0,1,0.33,0,0,0.11,1,1,0,1,0.666667,1,1,0.33,0.66,0.663333,1,0.222222,0.555556,0.555556,0.444445,1,0,0.5,0.25,0.25,1,2,8400600086,0.664585,0.996877,84005212006,8405,8402006,2
"87",5,"USA","USA",2,1,840,840,629,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,8,1,2,0,0,0,0,0,0,0,0,NA,1,2,2,2,1,2,1,1,2,2,3,2,9,9,4,3,4,3,2,4,4,5,1,2,2,2,3,3,3,1,1,4,2,8,2,1,1,2,1,4,1,3,2,2,1,5,5,1,5,1,5,5,2,3,3,1,10,10,4,9,3,2,2,2,NA,2,2,2,NA,1,2,2,2,3,4,4,1,1,1,5,1,5,8,1,1,1,10,5,10,2,1,1,1,2,1,2,2,1,3,2,4,1,2,3,3,3,3,2,2,2,2,3,2,4,4,4,1,1,1,1,1,2,10,10,10,10,10,10,5,2,2,1,5,NA,NA,NA,NA,NA,1,3,1,10,3,3,3,3,3,2,2,2e+07,1,1,2,2,2,2,10,1,4,4,4,4,1,1,1,1,3,3,3,3,1,1,1,1,2,2,2,2,3,2,2,3,3,1,1,7,1240,2,1,2,1,1,2,1,1,840002,840002,8,840001,840002,1,2,1943,63,3,5,5,2,840003,18,2,1,14,2,4,1,9,1,1,NA,7,2,3,1,840048,7,200,840003,NA,1240,0.670054,0.670054,2006,1,1,2,NA,0.069167,1,0.373472,1,0.5,0,0,0.166667,1,0,0,0,0,1,0,0,0,0,1,0,0,0.33,0.11,1,1,0,0,0.333333,1,1,0.66,0.66,0.773333,1,0.222222,0.222222,0.222222,0.222222,1,0.33,0,0.165,0.165,1,2,8400600087,0.536472,0.804708,84005212006,8405,8402006,2
"88",5,"USA","USA",2,2,840,840,1115,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,9,2,0,0,0,0,1,0,0,0,0,NA,1,2,2,2,2,2,2,2,2,2,NA,1,8,2,2,1,2,2,2,2,2,5,2,2,NA,2,3,3,3,1,2,3,1,4,2,1,3,1,4,1,1,2,2,1,1,3,6,5,4,2,5,5,2,2,1,2,2,8,8,9,4,1,3,3,NA,1,2,2,NA,2,3,3,1,3,3,3,2,2,1,5,2,5,5,6,7,3,5,9,5,4,2,3,3,4,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,8,8,8,9,9,5,5,6,5,5,5,5,4,2,3,1,NA,1,NA,1,1,1,NA,2,5,NA,NA,NA,NA,NA,3,0,100000020,7,1,2,2,1,2,10,1,NA,2,4,2,5,5,5,5,5,5,5,5,5,5,1,1,3,2,1,NA,NA,2,2,3,2,1,1,5,1240,1,1,2,2,2,2,2,1,NA,NA,NA,NA,840001,2,1,1926,80,3,6,4,2,840002,11,2,4,NA,NA,NA,NA,NA,NA,1,NA,14,2,NA,NA,840042,2,1250,840008,NA,1240,1.160093,1.160093,2006,3,0,1,NA,0.470833,1,0.354434,0.915,0,0,0,0,1,0,0,1,0.333333,1,1,1,1,1,1,0.33,0.66,0.66,0.55,1,1,0,0,0.333333,1,NA,0.66,0.66,0.63996,0.66,0.444444,0.444444,0.444444,0.444444,1,0,0,0,0,1,2,8400600088,0.928817,1.393226,84005212006,8405,8402006,2
"89",5,"USA","USA",2,1,840,840,1000,1,1,1,3,3,3,1,1,2,1,1,1,1,2,2,2,1,2,10,1,1,0,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,3,1,10,10,4,1,4,4,4,2,4,1,1,2,1,1,3,3,3,3,2,3,2,10,3,1,1,2,2,1,1,1,1,1,1,3,6,4,5,2,4,5,4,4,4,1,10,10,10,2,3,1,1,1,NA,1,1,1,NA,1,3,3,1,1,1,1,1,1,1,9,1,10,1,10,1,1,10,10,10,2,1,2,2,3,3,3,3,2,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,1,1,10,1,1,10,10,10,10,10,10,6,2,2,3,4,NA,NA,NA,NA,NA,2,NA,2,10,3,3,3,3,3,2,0,100000020,7,1,2,2,2,2,10,1,2,2,4,4,1,6,3,3,9,3,3,5,5,1,1,1,2,2,2,2,2,2,2,3,3,3,1,1,1240,1,1,1,1,1,1,1,3,8,8,840001,5,840001,1,1,1946,60,3,5,7,3,840006,20,2,1,3,2,10,10,6,1,2,1,3,1,3,1,840042,3,1400,840001,NA,1240,0.740059,0.740059,2006,2,3,2,0,0.525833,1,0.65588,1,0,0,0.66,0.22,1,0.66,0,1,0.553333,1,1,1,1,1,1,0.33,0.33,0.33,0.33,1,0,1,1,0.666667,1,1,0.66,0.66,0.773333,1,0.888889,0.222222,0.444444,0.518518,1,0.33,1,0.665,0.665,1,2,8400600089,0.592521,0.888782,84005212006,8405,8402006,2
"90",5,"USA","USA",2,2,840,840,682,1,1,2,3,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,0,0,0,0,0,1,0,0,NA,1,2,2,2,1,2,1,2,2,2,2,2,8,5,4,2,5,3,3,3,4,3,2,2,2,1,2,3,3,2,2,3,3,7,2,1,2,3,1,4,1,1,2,1,1,4,6,1,4,3,5,6,1,3,6,2,8,5,10,10,3,1,2,3,NA,2,2,2,NA,2,3,3,2,4,4,4,2,3,2,5,1,7,1,7,1,NA,5,7,6,3,2,2,2,2,2,2,3,1,3,3,3,1,2,3,3,NA,2,3,3,3,3,3,3,4,2,4,1,8,1,10,1,1,10,5,7,10,10,10,8,2,2,1,4,1,1,1,2,2,3,NA,2,10,3,2,2,1,1,1,2,2e+07,1,2,2,2,2,2,10,1,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,3,3,1,1,7,1240,2,1,2,2,2,2,1,3,840001,840001,840002,5,4,1,2,1942,64,3,5,6,3,840004,27,2,1,8,1,1,1,8,2,1,NA,8,1,4,NA,840046,1,1400,840004,NA,1240,0.760061,0.760061,2006,1,1,2,0,0.138333,1,0.299259,1,0,0,0.33,0.11,1,0,1,0,0.333333,1,0,0,0,0,1,0,0,0.33,0.11,1,0,0,1,0.333333,1,0.5,0.33,0.66,0.496667,1,0,0,0.111111,0.037037,1,0.66,0,0.33,0.33,1,2,8400600090,0.608536,0.912803,84005212006,8405,8402006,2
"91",5,"USA","USA",2,2,840,840,563,1,1,2,2,2,1,2,3,1,1,2,2,1,2,1,2,1,2,7,1,2,2,2,1,0,0,1,0,0,NA,1,2,2,2,2,2,1,2,2,1,3,2,6,5,1,4,2,3,4,3,4,1,1,2,1,2,2,3,2,2,2,2,2,5,1,2,1,4,1,3,1,3,2,1,1,3,3,3,3,3,3,3,4,4,4,1,6,6,6,6,2,1,2,1,NA,1,1,1,1,1,NA,2,2,1,1,1,1,2,1,6,1,5,2,5,2,4,7,5,7,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,4,1,8,8,1,1,10,1,3,3,1,1,10,8,3,2,1,5,1,2,1,2,2,3,NA,2,8,3,3,3,3,3,1,2,2e+07,2,1,1,1,1,1,10,1,5,2,4,4,1,1,5,1,5,10,6,2,7,2,1,1,1,1,1,1,3,1,1,3,3,1,1,9,1240,1,1,1,2,1,1,1,1,840002,840002,5,5,840002,1,1,1935,71,3,6,5,2,840003,31,2,5,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,5,840051,5,8000,840003,NA,1240,0.640051,0.640051,2006,2,2,2,2,0.207222,1,0.466343,1,0,0,0.33,0.11,1,0,0,0.166667,0.055556,1,0,1,0,0.333333,1,0.33,0.33,0.33,0.33,1,1,0,1,0.666667,1,1,0.33,0.66,0.663333,1,0.444444,0.555556,0.111111,0.37037,1,0.33,0,0.165,0.165,1,2,8400600091,0.512451,0.768676,84005212006,8405,8402006,2
"92",5,"USA","USA",2,2,840,840,556,1,2,1,2,3,3,2,2,2,2,1,1,1,2,1,2,2,2,5,1,0,0,0,2,2,0,0,0,0,NA,1,2,2,2,2,2,2,2,2,2,2,1,5,5,2,1,1,3,3,3,5,1,2,2,1,2,3,3,3,3,2,3,2,5,1,3,2,4,2,4,1,1,1,2,2,3,6,4,4,3,3,4,3,2,2,1,5,5,5,5,2,1,1,2,NA,1,1,2,NA,1,2,2,1,1,1,2,2,1,1,5,1,5,5,4,5,5,5,5,6,3,1,2,2,2,2,2,4,2,3,3,2,2,3,3,3,3,3,3,2,3,3,4,3,3,3,3,1,3,3,10,8,1,9,9,9,9,9,10,5,2,2,1,5,2,3,2,2,1,3,NA,2,7,1,1,1,2,2,2,0,100000020,7,1,2,2,2,2,7,2,4,1,5,1,5,5,5,5,5,5,5,5,5,5,1,1,2,2,2,2,2,2,2,3,1,1,1,5,1240,1,1,2,1,2,2,1,2,840002,840002,8,840001,840002,2,1,1953,53,3,4,7,3,840005,30,2,1,7,1,1,5,5,2,1,NA,4,2,3,5,840053,5,1400,840002,NA,1240,0.790063,0.790063,2006,2,4,3,1,0.595,1,0.616945,1,0.5,0,0.66,0.386667,1,0.66,0,1,0.553333,1,1,1,1,1,1,0.33,0.33,0.66,0.44,1,0,1,1,0.666667,1,0.5,0.66,0.66,0.606667,1,0.444444,0.444444,0.444444,0.444444,1,1,0.5,0.75,0.75,1,2,8400600092,0.632557,0.948835,84005212006,8405,8402006,2
"93",5,"USA","USA",2,1,840,840,15,1,2,4,4,1,3,1,2,2,1,2,2,1,1,1,2,1,2,8,1,0,0,0,1,1,0,0,0,0,NA,1,2,2,2,1,2,1,2,2,2,3,1,10,8,4,2,1,4,4,5,1,5,1,2,NA,NA,3,3,3,3,1,3,1,9,2,3,4,2,1,4,1,3,1,1,1,4,6,2,NA,2,4,5,5,2,5,1,9,9,2,2,2,1,2,3,NA,1,2,2,NA,1,1,1,3,2,2,3,1,2,1,5,1,8,1,9,1,1,10,10,10,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,3,NA,2,3,2,2,NA,4,3,4,2,4,2,3,3,10,4,1,10,3,10,10,10,10,7,2,2,1,3,NA,NA,NA,NA,NA,2,NA,2,10,3,3,3,3,3,4,2,2e+07,7,2,2,2,2,2,8,2,4,1,5,5,1,1,1,1,1,5,10,10,10,1,1,1,2,2,2,4,4,2,2,3,3,1,1,7,1240,1,1,1,1,2,2,2,1,840002,840002,840001,5,840002,1,1,1924,82,3,6,5,2,840003,18,2,4,NA,NA,NA,NA,NA,NA,1,NA,14,1,4,1,840044,1,1400,840006,NA,1240,0.470038,0.470038,2006,2,3,3,1,0.304167,1,0.630833,1,0,0,0.66,0.22,1,0.66,1,1,0.886667,1,0,0,0,0,1,0,0,0.33,0.11,1,0,0,1,0.333333,1,1,0.66,0.66,0.773333,1,0,1,1,0.666667,1,1,0.5,0.75,0.75,1,2,8400600093,0.376331,0.564497,84005212006,8405,8402006,2
"94",5,"USA","USA",2,1,840,840,246,1,1,1,2,2,NA,2,3,1,1,1,2,1,2,2,1,2,2,8,2,0,0,0,0,0,0,0,2,0,1,1,2,2,2,2,2,2,2,2,2,3,3,9,4,1,4,3,2,5,4,2,3,2,2,1,1,3,3,3,2,2,2,2,6,1,2,1,2,1,2,1,2,1,1,1,3,5,2,4,1,4,5,2,2,2,1,8,7,6,3,1,1,1,2,NA,1,1,2,NA,2,2,2,3,1,1,1,3,1,1,5,1,6,2,8,1,3,6,8,9,2,1,2,1,2,1,1,2,1,2,2,2,1,1,3,3,3,3,3,2,2,2,2,3,3,3,4,1,5,1,10,10,1,10,10,9,7,10,10,8,2,2,1,2,NA,NA,NA,NA,NA,2,NA,2,10,1,1,3,3,1,3,4,4e+07,6,1,1,1,1,1,10,1,4,1,5,1,1,1,1,1,7,1,9,6,9,2,1,1,3,2,1,2,2,2,2,3,3,1,1,8,1240,1,1,1,1,2,1,1,3,840002,840002,5,5,4,1,1,1934,72,3,6,6,3,840004,26,2,4,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,5,840047,6,1400,840003,NA,1240,0.390031,0.390031,2006,1,2,2,0,0.147,0.915,0.577176,1,0,0,0.33,0.11,1,NA,0,0.833333,0.478,0.66,0,0,0,0,1,0,0,0,0,1,1,0,1,0.666667,1,1,0.66,0.66,0.773333,1,0.666667,0.888889,0.555556,0.703704,1,0.33,0,0.165,0.165,1,2,8400600094,0.312275,0.468412,84005212006,8405,8402006,2
"95",5,"USA","USA",2,1,840,840,797,1,2,1,3,3,2,2,1,1,1,2,2,2,1,1,1,2,2,9,2,1,2,2,0,0,0,0,0,0,NA,1,2,1,1,1,2,1,2,1,2,2,1,7,6,4,2,2,1,1,2,4,3,1,1,2,1,2,2,2,1,1,3,1,7,2,1,1,3,1,3,1,1,3,1,1,2,5,4,2,2,4,2,5,5,1,2,7,2,10,10,2,1,1,3,NA,1,2,2,NA,2,4,4,4,2,2,2,4,4,2,10,1,7,1,7,1,7,4,9,7,3,1,2,2,3,3,3,2,1,2,4,4,3,4,2,3,3,3,4,4,4,3,4,4,2,2,4,1,5,1,10,4,1,4,5,2,7,7,10,8,2,2,4,1,NA,NA,NA,NA,NA,1,1,2,8,3,1,1,1,1,2,1,10100000,4,1,2,2,2,2,10,1,2,5,1,5,1,3,3,2,1,6,2,5,4,2,1,1,3,1,1,2,4,1,2,3,2,1,1,3,1240,1,1,2,2,2,2,1,2,840001,840001,8,NA,840001,1,1,1949,57,3,5,7,3,840006,30,2,1,7,3,9,9,3,2,1,NA,7,1,3,7,840050,5,1400,840004,NA,1240,1.270102,1.270102,2006,1,1,1,1,0.4575,1,0.30963,1,0,0,0,0,1,0.33,0,0.5,0.276667,1,1,1,1,1,1,0,0.66,1,0.553333,1,1,0,1,0.666667,1,0.5,0.33,0.33,0.386667,1,0,0.111111,0.444444,0.185185,1,0,0,0,0,1,2,8400600095,1.016895,1.525342,84005212006,8405,8402006,2
"96",5,"USA","USA",2,1,840,840,461,1,2,2,2,3,2,1,3,1,2,1,2,1,2,1,2,1,2,8,2,1,2,0,0,1,0,0,1,2,NA,1,2,1,2,2,2,2,2,2,2,3,1,5,5,1,2,4,2,2,2,4,1,2,2,2,1,4,2,3,2,1,1,3,5,2,1,1,2,2,4,1,2,2,2,1,3,5,2,3,2,4,6,2,4,5,1,8,9,6,3,2,1,2,2,NA,1,2,2,NA,2,3,3,2,3,3,3,1,3,1,5,1,5,3,9,2,9,8,8,5,2,1,3,2,2,2,2,3,1,3,2,4,2,3,3,3,3,3,3,3,3,2,4,3,4,2,4,1,8,1,10,4,1,3,8,7,5,10,10,4,3,2,1,3,NA,NA,NA,NA,NA,3,NA,2,10,1,1,1,1,1,2,4,4e+07,4,2,2,2,1,2,6,2,5,1,5,4,9,1,1,1,5,5,8,8,8,6,1,1,2,2,1,2,2,1,1,3,3,2,1,7,1240,1,1,1,1,2,1,1,1,840002,840002,8,840001,840002,1,1,1929,77,3,6,5,2,840003,19,2,4,NA,NA,NA,NA,NA,NA,2,2,1,3,3,7,840050,7,1400,840003,NA,1240,0.660053,0.660053,2006,2,2,2,2,0.304167,1,0.56875,1,0.5,0,0.33,0.276667,1,0.33,1,0.5,0.61,1,0,0,0,0,1,0,0.33,0.66,0.33,1,1,0,1,0.666667,1,1,1,0.33,0.776667,1,0.444444,0.777778,0.777778,0.666667,1,0.33,0,0.165,0.165,1,2,8400600096,0.528465,0.792698,84005212006,8405,8402006,2
"97",5,"USA","USA",2,2,840,840,596,1,1,2,4,1,3,1,1,1,2,1,1,1,2,1,2,2,2,9,1,0,2,0,0,0,0,2,0,0,NA,1,2,2,2,2,2,1,2,2,2,1,1,10,8,4,1,2,1,2,2,3,1,1,2,1,3,3,3,3,2,1,1,1,8,3,2,2,3,4,1,1,2,3,2,1,4,6,3,4,3,6,6,1,4,3,1,7,7,10,2,4,2,3,3,NA,2,2,2,NA,2,4,3,1,1,1,1,2,2,1,1,1,4,1,9,4,3,3,9,8,3,1,2,2,2,3,2,4,1,3,3,2,2,3,4,3,3,2,3,4,3,3,3,3,4,4,4,1,2,1,10,3,1,10,10,6,9,10,10,3,2,2,3,2,2,2,1,1,2,2,NA,2,9,3,1,3,2,3,3,0,100000020,7,2,2,2,1,2,8,1,5,1,5,1,1,3,1,1,10,1,10,10,5,1,1,1,1,1,1,1,2,2,2,1,1,1,1,8,1240,1,1,2,2,2,1,1,2,840002,840002,8,5,840002,2,1,1937,69,3,6,5,2,840003,18,2,1,4,1,8,10,8,1,1,NA,4,1,3,5,840051,5,8000,840010,NA,1240,0.270022,0.270022,2006,2,2,2,2,0.456667,1,0.8175,1,0.5,0,0.33,0.276667,1,0.66,1,1,0.886667,1,1,0,0,0.333333,1,0,0.33,0.66,0.33,1,1,1,1,1,1,0,0.66,0.66,0.44,1,1,1,1,1,1,0.66,1,0.83,0.83,1,2,8400600097,0.21619,0.324285,84005212006,8405,8402006,2
