"","V1","V2","V2A","V3","happiness","health","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V27","religionmem","V30","V31","V32","V33","V34","V35","V37","V51","V52","V53","V54","V55","V56","V57","V64","V65","freedom","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V90A","V91","V92","V93","V94","V95","V96","V106","V107","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V135","V136","V137","V138","V140","V141","V144","V145","V146","V177","V178","V179","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V214","V215","V216","V218","V219","V220","V221","V222","V224","V226","income","V232","V233","V234","V236","V236A","V237","S024","S025","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","RESEMAWEIGHT","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","S018","S019","S021","COW","wave"
"11",1,840,840,11,2,2,NA,NA,1,2,2,1,2,1,2,2,2,2,2,1,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,2,1,5,9,1,2,1,2,1,1,2,2,1,2,2,1,NA,2,1,0,2,4,2,2,2,1,3,NA,NA,2,1,3,3,1,1,2,4,3,3,3,3,3,NA,NA,2,NA,NA,2,2,2,NA,NA,NA,4,NA,1,NA,2,1,2,2,2,2,1,1,5,2,1,1,1,1,1,NA,1,1,5,NA,1,NA,NA,NA,1,1960,22,16,NA,7,NA,1,NA,NA,5,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,NA,0.745,NA,0.745,0,NA,NA,NA,0.66,NA,1,NA,NA,0.66,0,0,0,0,1,NA,0.33,NA,NA,0.66,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,NA,0,0.444444,0.203111,0.66,NA,NA,NA,NA,0.66,2,8400120011,0.179651,0.269477,84001211981,2,1
"12",1,840,840,12,2,3,1,1,1,2,1,2,2,2,2,2,1,2,1,2,3,3,3,3,3,3,3,NA,1,1,1,1,1,NA,2,8,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,3,NA,NA,1,1,3,1,1,1,1,3,2,3,3,3,3,7,3,1,1,2,3,3,2,3,3,4,1,1,2,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,2,1935,47,17,NA,1,NA,2,NA,2,8,2,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.17769,0.83,NA,0.83,0,0.33,NA,0.32476,0.66,NA,0,0.166667,0.166,0.66,0,0,0,0,1,0,0.33,0.33,0.22,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120012,0.179651,0.269477,84001211981,2,1
"13",1,840,840,13,2,3,1,1,1,1,2,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,1,2,2,2,2,NA,2,3,10,6,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,3,1,1,2,NA,2,NA,NA,NA,3,3,2,1,1,3,4,3,3,3,3,3,10,NA,2,2,3,3,3,2,2,2,3,3,3,1,5,1,1,2,2,2,2,2,2,10,1,1,1,1,1,1,1,1,1,6,1,1,3,1,1,2,1926,56,18,NA,5,NA,2,NA,2,NA,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.2605,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.666667,0.4,0.66,0,0,0,0,1,0.33,0.33,0.66,0.44,1,1,0,1,0.666667,1,NA,NA,NA,NA,0.66,0,0,0.555556,0.185185,1,NA,NA,NA,NA,0.66,2,8400120013,0.179651,0.269477,84001211981,2,1
"14",1,840,840,14,2,3,1,1,1,2,1,2,2,1,2,2,2,2,1,2,3,3,3,3,3,3,3,2,1,2,2,2,1,NA,2,8,10,5,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,NA,2,NA,NA,NA,3,3,1,1,1,2,2,NA,NA,NA,3,3,10,3,2,2,2,2,2,2,2,2,2,2,3,1,5,1,1,NA,NA,NA,NA,NA,1,10,1,1,5,1,1,1,1,1,5,5,5,1,3,NA,1,1,1926,56,18,NA,1,NA,1,NA,2,NA,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.316333,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.666667,0.4,0.66,1,0,0,0.333333,1,0.33,0.33,0.33,0.33,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0.444444,0.444444,0.296296,1,NA,NA,NA,NA,0.66,2,8400120014,0.179651,0.269477,84001211981,2,1
"15",1,840,840,15,3,4,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,2,1,2,1,1,2,NA,2,NA,8,6,1,1,1,1,1,1,2,2,1,2,2,1,4,1,5,2,1,3,1,1,2,3,1,NA,NA,NA,1,3,1,1,1,2,2,3,3,3,3,3,10,3,1,1,NA,4,NA,2,3,4,4,2,1,1,2,1,1,1,1,2,1,1,1,10,1,1,1,1,1,1,1,1,6,5,1,1,3,3,1,1,1910,72,12,NA,4,NA,2,NA,1,6,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.146023,0.745,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.166667,0.166,0.66,0,0,0,0,1,0,0.33,NA,0.21609,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0.555556,0.444444,0.333333,1,NA,NA,NA,NA,0.66,2,8400120015,0.179651,0.269477,84001211981,2,1
"16",1,840,840,16,NA,3,1,1,1,2,1,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,1,2,2,1,2,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,0,2,3,1,1,2,3,3,NA,NA,1,2,3,1,1,1,2,4,3,3,3,3,3,8,3,1,3,3,3,4,2,2,3,4,1,1,1,NA,1,1,1,1,2,2,1,1,10,1,1,1,1,1,1,1,1,3,5,1,1,1,2,1,2,1957,25,21,NA,7,NA,2,NA,2,6,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.250667,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,NA,NA,0.66,0,0,0,0,1,0.66,0.33,0.66,0.55,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0.222222,0.444444,0.222222,1,NA,NA,NA,NA,0.66,2,8400120016,0.179651,0.269477,84001211981,2,1
"17",1,840,840,17,2,3,1,1,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,2,1,1,1,NA,1,5,10,8,1,2,1,2,1,2,2,2,1,1,2,1,1,3,1,3,1,3,1,2,2,3,3,NA,NA,1,2,3,2,1,1,1,4,1,3,2,3,3,5,2,1,2,3,3,3,2,2,2,3,2,3,1,3,1,1,NA,1,2,2,1,NA,9,1,1,2,1,3,2,1,1,2,3,2,1,3,2,1,2,1922,60,14,NA,1,NA,2,NA,NA,8,2,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.388167,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,0,0.333333,0.244,0.66,1,0,1,0.666667,1,0.33,0.33,0.66,0.44,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0.111111,0.222222,0.111111,1,NA,NA,NA,NA,0.66,2,8400120017,0.179651,0.269477,84001211981,2,1
"18",1,840,840,18,3,3,2,1,1,2,2,1,2,2,2,2,2,1,2,2,3,3,3,3,3,3,3,1,1,2,1,1,1,NA,1,7,5,8,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,4,1,2,2,3,2,NA,NA,1,1,3,1,1,1,2,1,1,NA,2,3,3,7,3,4,2,3,3,3,3,3,2,2,1,2,0,NA,NA,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,10,5,5,3,1,3,3,1,1,1925,57,21,NA,1,NA,1,NA,1,9,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.250667,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,NA,NA,NA,0.66,0,0,0,0,1,0.33,0.66,0.66,0.55,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0.444444,0.444444,0.296296,1,NA,NA,NA,NA,0.66,2,8400120018,0.179651,0.269477,84001211981,2,1
"19",1,840,840,19,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,3,3,3,3,3,2,3,3,1,2,2,2,1,NA,2,9,10,8,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,3,2,NA,NA,1,2,1,1,2,1,1,2,1,3,3,3,3,5,2,1,1,1,3,3,2,2,2,2,1,3,1,3,1,1,1,1,NA,NA,1,2,10,1,1,6,2,1,1,1,1,6,5,10,1,1,2,1,1,1948,34,21,NA,1,NA,2,NA,1,NA,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.351042,0.83,NA,0.83,0.5,0,NA,0.3835,0.66,NA,0,0.333333,0.244,0.66,1,1,0,0.666667,1,0,0.33,0,0.11,1,1,0,0,0.333333,1,NA,NA,NA,NA,0.66,0,0.555556,0.444444,0.333333,1,NA,NA,NA,NA,0.66,2,8400120019,0.179651,0.269477,84001211981,2,1
"20",1,840,840,20,NA,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,2,1,1,NA,2,4,5,3,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,3,1,NA,1,1,2,NA,3,NA,NA,1,2,1,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,2,1,1,1,1,1,5,2,1,1,4,4,3,3,3,3,3,3,3,NA,NA,4,1,1954,28,12,NA,7,NA,1,NA,NA,5,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.562042,0.83,NA,0.83,0.5,1,NA,0.7555,0.66,NA,0,0.166667,0.166,0.66,0,1,1,0.666667,1,0.66,0.66,0.66,0.66,1,0,1,1,0.666667,1,NA,NA,NA,NA,0.66,0.222222,0.222222,0.222222,0.222222,1,NA,NA,NA,NA,0.66,2,8400120020,0.179651,0.269477,84001211981,2,1
"21",1,840,840,21,2,3,NA,2,2,2,2,1,2,1,2,2,2,2,1,2,3,3,3,3,3,3,3,2,1,2,1,1,1,NA,2,1,7,7,1,1,1,1,1,1,1,1,1,2,1,2,4,1,1,4,1,3,1,2,2,1,2,NA,NA,1,1,1,1,1,1,3,3,NA,2,3,3,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,2,2,2,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1948,34,14,NA,1,NA,1,NA,NA,7,NA,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.29975,0.83,NA,0.83,0,0,NA,0.202,0.66,NA,1,0.333333,0.667,0.66,0,0,0,0,1,0.33,0.33,0.33,0.33,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120021,0.179651,0.269477,84001211981,2,1
"22",1,840,840,22,3,3,1,1,2,2,1,1,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,2,1,1,1,1,1,NA,2,7,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,1,2,2,1,3,NA,NA,1,2,3,1,1,1,1,4,3,3,3,3,3,9,2,1,1,1,2,3,3,1,3,3,2,1,1,2,1,1,1,1,1,1,1,1,10,1,1,NA,NA,1,1,1,1,7,7,1,1,2,3,2,2,1959,23,17,NA,5,NA,2,NA,NA,7,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.23692,0.745,NA,0.83,0,0.33,NA,0.32476,0.66,NA,0,0.166667,0.166,0.66,NA,NA,0,NA,0.66,0,0.66,0,0.22,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0.666667,0.666667,0.444445,1,NA,NA,NA,NA,0.66,2,8400120022,0.179651,0.269477,84001211981,2,1
"23",1,840,840,23,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,NA,2,NA,NA,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,6,1,NA,1,1,2,3,3,NA,NA,NA,1,3,2,1,1,3,3,2,3,2,3,3,5,2,1,3,3,3,3,3,3,3,3,1,1,1,7,1,1,1,1,1,1,1,1,10,1,2,2,1,1,2,1,1,1,1,4,5,1,2,2,1,1929,53,14,NA,1,NA,1,NA,NA,10,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.551857,0.83,NA,0.83,0,0.33,NA,0.32476,0.66,NA,0,1,0.556,0.66,1,0,1,0.666667,1,0.66,0.66,0.66,0.66,1,1,1,0,0.666667,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120023,0.179651,0.269477,84001211981,2,1
"24",1,840,840,24,1,3,1,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,2,7,10,10,1,2,1,2,2,1,2,2,1,2,1,2,1,1,6,0,2,3,2,2,1,2,1,NA,NA,1,2,3,1,1,1,3,4,1,2,3,3,3,6,2,3,3,3,2,3,3,3,3,4,2,2,1,4,1,1,1,1,2,2,1,2,10,1,1,4,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1960,22,18,2,1,NA,2,NA,NA,8,2,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.438444,0.83,NA,0.83,0,NA,NA,NA,0.66,NA,0,0.5,0.322,0.66,1,0,0,0.333333,1,0.66,0.66,0.66,0.66,1,0,0,0,0,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120024,0.179651,0.269477,84001211981,2,1
"25",1,840,840,25,2,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,NA,2,8,8,5,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,NA,1,1,NA,NA,3,NA,NA,1,1,3,1,1,1,1,3,3,3,3,3,3,6,3,2,2,2,1,3,2,2,2,2,NA,1,1,2,1,1,1,1,1,NA,NA,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,5,2,1,1952,30,14,NA,1,NA,1,NA,NA,6,2,840012,NA,0.41768968,0,1981,8401,8401981,NA,0,0.20519,0.83,NA,0.83,0,0.33,NA,0.32476,0.66,NA,0,0.166667,0.166,0.66,0,0,0,0,1,0.33,0.33,0.33,0.33,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,0,0,0,0,1,NA,NA,NA,NA,0.66,2,8400120025,0.179651,0.269477,84001211981,2,1
"26",1,840,840,26,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,2,2,1,1,2,NA,2,8,10,5,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,6,4,1,NA,1,1,2,2,NA,NA,NA,2,1,2,2,1,1,2,4,NA,3,3,3,3,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,10,1,1,1,1,NA,1,NA,1,1,1,1,1,4,2,1,2,1952,30,15,2,5,NA,2,NA,NA,9,3,840012,NA,0.41768968,0,1981,8401,8401981,NA,NA,0.1115,0.83,NA,0.745,0,0,NA,0.202,0.66,NA,0,0.333333,0.244,0.66,0,0,0,0,1,0,0,0,0,1,0,0,1,0.333333,1,NA,NA,NA,NA,0.66,NA,0,0,0.008,0.66,NA,NA,NA,NA,0.66,2,8400120026,0.179651,0.269477,84001211981,2,1
