"","study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_AN","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_EVS5","mm_mode_fu_EVS5","mm_matrix_group_EVS5","mm_fw_start_fu_EVS5","mm_fw_end_fu_EVS5","mm_year_fu_EVS5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_EVS5","mm_v278a_fu_r_EVS5","mm_v279a_fu_r_EVS5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","A001","A002","A003","A004","A005","A006","A008","A009","A170","A173","A027","A029","A030","A032","A034","A035","A038","A039","A040","A041","A042","A065","A066","A067","A068","A071","A072","A074","A078","A079","A080_01","A080_02","A124_02","A124_03","A124_06","A124_08","A124_09","A165","B008","C001","C001_01","C002","C002_01","D081","D026_03","D026_05","C038","C039","C041","D001_B","G007_18_B","G007_33_B","G007_34_B","G007_35_B","G007_36_B","D054","D059","D060","D061","D078","E001","E002","E003","E004","Y002","E012","E015","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E069_01","E069_02","E069_04","E069_05","E069_06","E069_07","E069_08","E069_18A","E069_18","E069_11","E069_12","E069_13","E069_14","E069_17","E069_20","E111_01","E114","E115","E116","E117","E179_WVS7","E181_EVS5","E224","E225","E226","E227","E228","E229","E233","E233A","E233B","E235","E236","E263","E264","E265_01","E265_02","E265_03","E265_04","E265_05","E265_06","E265_07","E265_08","F025","F028","F028B_WVS7","F066_EVS5","F034","F050","F051","F053","F054","F063","F114A","F115","F116","F117","F118","F119","F120","F121","F122","F123","F132","E290","F144_02","G005","G006","G052","G062","G063","G255","G256","G257","H009","H010","H011","X001","X002","X003","X003R","X003R2","G027A","X002_02A","X002_02B","V002","V002A","V002A_01","V001","V001A","V001A_01","X007","x026_01","X011","X013","X025A_01","X025R","W002A_01","W002R","V004AM_01","V004RM","V004AF_01","V004RF","X028","W003","X052","X035_EVS5","X036E_WVS7","V097EF","W005_EVS5","W006E_WVS7","X047_WVS7","X047E_EVS5"
"51758",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050011,5024,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,115,19.21,21.16,20171023,NA,NA,NA,207,"it",1.40429736360546,0.217695778197858,0.315059861373661,"CH0","CH04",NA,4,2,1,2,2,3,1,2,1,2,8,9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,2,2,5,2,5,2,3,2,2,1,3,1,1,3,3,3,3,1,3,3,2,3,1,3,2,4,3,1,1,1,1,2,3,1,3,5,5,4,4,4,3,2,3,3,2,2,2,3,3,2,2,3,1,2,3,10,3,1,4,1,NA,NA,9,4,9,9,4,9,9,9,9,10,8,4,4,1,NA,3,4,NA,1,4,4,1,6,NA,4,2,1,1,0,1,8,1,3,1,1,8,5,3,4,5,1,1,1,1,0,NA,4,3,3,2,2,2,1,4,4,1,1978,39,3,2,2,5,"005",0,5,"005",0,5,"005",3,1,5,3,3,2,3,2,2,1,1,1,1,1,2,93,NA,5,93,NA,NA,2
"51759",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050012,4103,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,46,17.56,18.42,20170920,NA,NA,NA,158,"de",0.826340446062961,0.217695778197858,0.315059861373661,"CH0","CH06",NA,2,1,1,2,1,3,2,4,2,2,8,7,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,3,3,1,5,4,4,4,4,1,2,2,3,2,2,2,4,4,4,4,3,1,2,4,3,1,2,3,2,1,2,2,3,5,4,5,6,4,4,3,2,2,2,2,2,3,3,2,3,3,2,2,2,8,4,3,4,1,NA,75609,7,1,10,10,2,10,10,3,1,10,8,1,1,1,4,2,4,2,1,4,4,0,8,NA,7,2,0,1,0,0,2,1,3,1,1,10,8,6,10,10,1,10,1,1,1,3,4,2,2,2,2,2,3,4,4,2,1977,40,3,2,1,756,"CH",1,756,"CH",1,756,"CH",3,1,1,2,7,3,NA,NA,4,2,7,3,1,NA,2,12,NA,1,NA,NA,NA,5
"51760",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050013,1015,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,50,17.08,17.58,20171122,NA,NA,NA,158,"de",0.984340151259253,0.217695778197858,0.315059861373661,"CH0","CH05",NA,2,1,1,1,2,3,1,4,2,2,8,8,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,5,1,2,3,4,2,2,1,3,1,2,1,3,2,2,1,4,4,2,4,1,3,3,1,1,0,2,3,3,1,3,2,3,5,6,5,7,5,3,4,3,2,1,3,3,3,3,3,4,3,2,2,3,7,4,4,4,1,NA,75609,8,1,10,8,3,8,10,5,1,10,8,1,1,1,3,3,4,2,2,3,4,1,8,NA,7,2,1,1,0,0,2,1,2,3,1,3,4,7,7,5,1,4,2,1,1,1,3,2,3,1,1,1,2,3,3,1,1987,30,2,2,1,756,"CH",1,756,"CH",1,756,"CH",6,2,0,3,6,3,NA,NA,3,2,3,2,1,NA,2,21,NA,6,NA,NA,NA,7
"51761",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050014,4257,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,56,9.52,10.48,20171018,NA,NA,NA,144,"fr",0.818102874723093,0.217695778197858,0.315059861373661,"CH0","CH02",NA,1,1,1,1,2,2,2,2,1,1,10,10,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,4,1,2,2,3,3,3,2,2,1,1,1,2,2,2,2,3,4,4,4,3,1,4,3,2,1,3,1,3,1,2,2,3,9,9,2,1,2,1,1,2,2,1,2,2,2,2,2,3,2,1,2,2,9,4,2,4,1,NA,75601,7,3,10,5,3,9,10,2,9,10,9,4,4,1,NA,NA,3,3,1,4,4,3,3,NA,1,1,1,1,1,1,10,1,1,1,1,10,5,10,8,5,5,5,1,2,0,NA,4,2,2,2,2,2,2,3,3,2,1986,31,2,2,2,250,"FR",0,250,"FR",0,250,"FR",1,1,1,3,7,3,7,3,3,2,8,3,6,1,2,22,NA,1,24,NA,NA,7
"51762",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050015,2038,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,62,16.13,17.15,20171016,NA,NA,NA,158,"de",1.02647624897816,0.217695778197858,0.315059861373661,"CH0","CH02",NA,1,1,1,1,2,3,2,1,2,3,6,9,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,4,2,4,4,4,4,4,3,4,1,2,2,3,2,2,3,3,3,2,3,3,1,4,3,2,1,1,3,3,1,2,2,3,5,4,3,3,7,3,3,4,3,2,3,2,3,3,3,3,3,2,3,3,4,3,4,4,1,NA,75612,1,1,8,8,2,9,8,3,4,9,7,2,2,1,3,NA,4,2,1,1,4,8,2,NA,2,1,1,1,0,1,8,1,3,2,1,9,5,9,9,5,5,5,2,1,1,3,3,3,3,3,1,1,2,2,3,2,1971,46,4,2,1,756,"CH",1,756,"CH",1,756,"CH",3,1,2,3,3,2,NA,NA,3,2,5,3,1,NA,1,23,NA,3,NA,NA,NA,3
"51763",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050016,4386,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,105,13.09,14.54,20170922,NA,NA,NA,144,"fr",1.40429736360546,0.217695778197858,0.315059861373661,"CH0","CH01",NA,4,2,1,2,1,2,1,1,2,2,5,6,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,2,5,2,5,2,1,1,1,1,3,1,2,1,2,1,1,1,4,4,2,4,1,3,1,3,1,1,3,1,3,1,1,1,3,5,10,8,5,5,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,10,4,4,4,1,NA,NA,7,1,10,10,1,10,10,1,10,10,10,2,4,1,3,3,4,2,1,4,4,8,2,NA,1,1,1,1,1,1,10,1,1,1,1,5,5,5,5,5,1,5,1,1,0,NA,4,2,1,1,2,1,1,4,3,1,1980,37,3,2,2,5,"005",0,5,"005",0,5,"005",6,1,1,2,3,2,NA,NA,2,1,NA,NA,7,NA,2,71,NA,NA,NA,NA,NA,NA
"51764",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050017,1015,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,37,13.57,14.34,20170928,NA,NA,NA,158,"de",0.895589735932012,0.217695778197858,0.315059861373661,"CH0","CH05",NA,2,1,1,1,1,3,1,3,1,1,8,5,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,5,1,1,4,4,4,2,2,4,1,NA,NA,3,3,3,2,3,3,3,3,2,3,3,4,2,1,1,1,3,1,2,2,3,5,1,4,4,2,3,2,3,3,3,3,3,4,4,3,3,3,2,3,3,6,2,3,3,1,NA,NA,9,3,8,4,1,NA,10,9,1,5,6,2,1,3,2,2,2,2,3,2,3,2,2,NA,4,1,1,1,1,1,7,1,5,1,1,9,1,5,5,10,3,5,1,1,1,1,3,1,1,4,2,1,4,4,4,2,1985,32,2,2,1,756,"CH",1,756,"CH",1,756,"CH",1,1,1,3,5,3,3,2,3,2,5,3,2,1,2,31,NA,1,83,NA,NA,6
"51765",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050018,4505,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,55,8.03,8.58,20170926,NA,NA,NA,144,"fr",0.770885832145185,0.217695778197858,0.315059861373661,"CH0","CH01",NA,1,1,1,1,1,3,2,3,1,1,10,10,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,2,1,4,3,4,4,5,1,1,1,2,2,2,3,4,4,3,4,4,1,1,4,2,1,1,1,4,1,3,2,3,4,4,5,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,4,4,4,1,NA,75608,7,2,10,5,6,10,10,5,5,10,10,1,1,1,4,3,4,2,1,4,4,1,8,NA,1,2,1,1,0,0,9,1,2,1,1,10,3,5,5,8,1,1,1,1,1,1,4,2,1,2,1,1,1,3,3,2,1972,45,4,2,1,756,"CH",1,756,"CH",1,756,"CH",1,1,2,3,5,3,6,3,5,3,7,3,2,1,2,32,NA,1,33,NA,NA,10
"51766",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050019,4380,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,80,9.01,10.21,20171002,NA,NA,NA,158,"de",1.0226264411042,0.217695778197858,0.315059861373661,"CH0","CH05",NA,2,1,1,1,1,3,1,1,2,1,9,7,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,2,5,1,2,2,4,5,2,2,4,1,1,1,2,2,2,3,4,4,3,4,3,1,3,2,2,0,3,3,3,2,3,3,3,8,3,NA,8,2,2,2,3,3,2,2,2,4,4,2,2,2,2,2,3,8,4,3,4,1,NA,75605,10,1,10,10,1,6,10,6,1,10,8,1,2,1,1,3,4,3,1,3,4,2,1,NA,5,1,1,1,0,1,9,1,1,1,1,7,6,1,7,6,3,5,1,1,1,1,2,1,1,1,1,1,2,3,4,2,1962,55,5,3,1,756,"CH",0,276,"DE",1,756,"CH",1,1,3,4,3,2,3,2,2,1,3,2,2,1,1,11,NA,9,13,NA,NA,6
"51767",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050020,1015,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,53,17.19,18.12,20171106,NA,NA,NA,158,"de",1.40429736360546,0.217695778197858,0.315059861373661,"CH0","CH05",NA,2,1,1,1,1,3,1,4,2,2,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,NA,2,4,2,4,NA,4,3,2,3,4,1,2,2,3,2,2,2,3,4,3,3,1,3,1,4,2,1,1,NA,3,NA,NA,NA,NA,5,5,NA,3,1,NA,2,3,NA,2,2,2,NA,NA,2,3,2,4,NA,NA,10,NA,NA,4,1,NA,NA,9,1,10,10,1,NA,10,8,6,10,10,2,2,2,2,NA,3,NA,3,2,4,5,8,NA,7,NA,0,0,0,0,1,1,1,1,NA,5,5,5,5,1,1,5,1,1,1,2,4,2,2,2,2,2,2,2,4,1,1984,33,2,2,2,915,"XK",0,915,"XK",0,915,"XK",1,1,0,2,3,2,2,1,1,1,1,1,1,5,2,74,NA,7,NA,NA,NA,3
